0, 0, 0, 0
1, 0, 255, 70
2, 60, 55, 235
3, 150, 150, 150
4, 100, 100, 100
5, 1, 40, 140
6, 50, 50, 50
7, 1, 40, 140
8, 200, 200, 200
9, 50, 50, 50
10, 50, 50, 255
11, 100, 100, 100
12, 180, 0, 180
13, 50, 50, 50
14, 100, 100, 100
15, 200, 0, 50
16, 50, 50, 50
17, 0, 255, 70
18, 100, 100, 100
19, 50, 50, 50
20, 60, 55, 235
21, 200, 200, 200
22, 150, 150, 150
23, 1, 40, 140
24, 100, 100, 100
25, 1, 40, 140
26, 50, 50, 50
27, 100, 100, 100
28, 50, 50, 255
29, 150, 150, 150
30, 180, 0, 180
31, 150, 150, 150
32, 200, 200, 200
33, 100, 100, 100
34, 50, 50, 50
35, 200, 0, 50
36, 100, 100, 100
37, 50, 50, 50
38, 200, 200, 200
39, 150, 150, 150
40, 0, 255, 70
41, 30, 30, 30
42, 180, 180, 180
43, 0, 255, 180
44, 180, 0, 255
45, 60, 55, 235
46, 50, 50, 50
47, 255, 100, 50
48, 0, 150, 50
49, 150, 0, 50
50, 1, 40, 140
51, 10, 50, 90
52, 90, 10, 50
53, 0, 200, 50
54, 50, 200, 0
55, 1, 40, 140
56, 0, 255, 0
57, 255, 0, 100
58, 234, 51, 91
59, 73, 187, 244
60, 50, 50, 255
61, 8, 53, 207
62, 243, 57, 150
63, 35, 28, 26
64, 119, 17, 114
65, 180, 0, 180
66, 5, 175, 239
67, 183, 183, 66
68, 10, 66, 175
69, 154, 31, 61
70, 200, 0, 50
71, 245, 121, 48
72, 11, 25, 59
73, 249, 75, 164
74, 222, 195, 87
75, 153, 170, 216
76, 35, 34, 93
77, 58, 191, 220
78, 99, 123, 30
79, 164, 71, 68
80, 0, 255, 70
81, 7, 75, 169
82, 68, 66, 133
83, 202, 193, 224
84, 68, 40, 113
85, 33, 13, 52
86, 172, 15, 81
87, 202, 203, 220
88, 100, 100, 100
89, 244, 20, 56
90, 0, 0, 0
91, 96, 25, 101
92, 152, 150, 2
93, 0, 100, 150
94, 23, 160, 200
95, 50, 0, 50
96, 248, 210, 13
97, 238, 225, 241
98, 1, 129, 173
99, 0, 0, 0
100,	225, 225, 225
