0, 0, 0, 0
1, 253, 253, 174
2, 30, 216, 234
3, 255, 182, 190
4, 200, 104, 172
5, 255, 70, 86
6, 240, 242, 145
7, 255, 45, 123
8, 247, 132, 153
9, 240, 89, 96
10, 234, 51, 91
11, 200, 1, 115
12, 183, 129, 249
13, 178, 95, 139
14, 163, 243, 218
15, 174, 2, 27
16, 50, 50, 50
17, 150, 150, 150
18, 172, 32, 71
19, 153, 153, 111
20, 131, 124, 253
21, 0, 0, 255
22, 131, 122, 100
23, 128, 72, 111
24, 129, 13, 90
25, 103, 210, 185
26, 96, 83, 129
27, 86, 142, 95
28, 80, 121, 151
29, 67, 189, 226
30, 70, 57, 77
31, 65, 31, 1
32, 59, 129, 112
33, 58, 63, 119
34, 53, 121, 59
35, 36, 200, 195
36, 46, 38, 147
37, 25, 116, 125
38, 25, 75, 77
39, 8, 82, 51
40, 3, 105, 210
41, 1, 40, 139
42, 0, 144, 145
43, 1, 46, 30
44, 245, 246, 174
45, 252, 57, 145
46, 206, 56, 38
47, 34, 58, 88
48, 92, 194, 196
49, 135, 145, 166
50, 249, 231, 143
51, 84, 118, 117
52, 190, 30, 79
53, 240, 145, 47
54, 0, 126, 112
55, 218, 173, 1
56, 249, 25, 100
57, 20, 114, 130
58, 205, 231, 219
59, 23, 180, 162
60, 167, 182, 21
61, 20, 20, 20
62, 167, 182, 21
63, 172, 193, 216
64, 105, 116, 56
65, 23, 180, 162
66, 46, 52, 55
67, 230, 210, 185
68, 223, 76, 28
69, 164, 190, 150
70, 199, 209, 110
71, 214, 160, 184
72, 255, 80, 80
73, 133, 161, 121
74, 225, 180, 61
75, 254, 100, 94
76, 212, 150, 165
77, 115, 136, 121
78, 120, 171, 152
79, 253, 22, 50
80, 29, 14, 4
81, 236, 186, 185
82, 235, 207, 69
83, 167, 225, 178
84, 234, 114, 184
85, 23, 117, 104
86, 248, 119, 3
87, 110, 221, 208
88, 242, 94, 119
89, 22, 57, 82
90, 148, 180, 204
91, 227, 208, 165
92, 41, 86, 177
93, 185, 215, 227
94, 119, 99, 130
95, 137, 56, 4
96, 242, 157, 195
97, 198, 21, 106
98, 74, 161, 137
99, 8, 53, 207
100,	225, 225, 225
